ID,Discipline,Abstract
37,IS,"As we live in the modern time and use social media, the amount of advertisements we get exposed to is increasing more and more daily (Andrews, Van Leeuwen, & Van Baaren, 2013, p. 8), the amount of mobile game ads are parallelly increasing in social media and digital landscape. These persuasive lines can cause UX (User Experience) to become a manipulative practice and turn into Dark UX, known as ”Dark Patterns” (Brignull, 2013). This thesis addresses the Dark UX patterns employed in mobile game advertising, including persuasive techniques and deception elements, and it finds out different types of Dark UX strategies in mobile game advertising. These include explicit psychological tricks and Dark UI methods incorporated within the in-game or in-app ad frameworks. These techniques are discussed concerning empiricism, with detailed descriptions of the complex maneuvers employed. The work analyzes the underlying patterns within which the dark UX elements are hidden for the content/narrative and the mobile game UI designs. The inquiry does not just identify problems but also provides critique and design ethics. By analyzing user experiences, interviews, surveys n = 125, and empirical data, the study sheds light on the immediate effectiveness of these tactics compared to their long-term effects: reduced consumer confidence, and more remarkable instances of advertising aversion. It shows a need to switch to honest, user-focused advertising approaches and friendlier UX and UI. This thesis also contributes significantly to the current discourse on digital ethics and consumer protection in an era dominated by online advertising. It underscores the necessity of perpetually updated surveillance mechanisms since digital environments and user behavior constantly change. Besides, this study calls out to the advertisers and developers of mobile games to reassess their ethics and reorganize their advertising strategies to enhance users’ rights and improve the user experience in the short and long term."
38,IS,"This article aims to find a chain of causal relations affecting the operating effectiveness of the implemented enterprise resource planning (ERP) system instead of focusing on either the evaluation of software/vendors/consultants or critical successful factors (CSF) identification for ERP implementation, a course followed by the dominant ERP literature. This article is a process‐oriented approach and aims to give a moving picture of how one step affects another step from pre‐implementation stage, to during‐implementation stage, and to post‐implementation stage. A significant insight learned from this study is that end‐users across the organization must be educated from the onset of ERP implementation. Although education is a corner‐stone of ERP implementation, the user training is usually only emphasized and the courses are centered on computer/system operation rather than on understanding the ERP concept and spirit. This article may be interesting to some academic researchers and practical managers, and hopefully can provide a link/step for advanced researches in exploring post‐implementation ERP."
39,IS,"There is growing interest in the potential of artificial intelligence to support decision-making in health and social care settings. There is, however, currently limited evidence of the effectiveness of these systems. The aim of this study was to investigate the effectiveness of artificial intelligence-based computerised decision support systems in health and social care settings. We conducted a systematic literature review to identify relevant randomised controlled trials conducted between 2013 and 2018. We searched the following databases: MEDLINE, EMBASE, CINAHL, PsycINFO, Web of Science, Cochrane Library, ASSIA, Emerald, Health Business Fulltext Elite, ProQuest Public Health, Social Care Online, and grey literature sources. Search terms were conceptualised into three groups: artificial intelligence-related terms, computerised decision support -related terms, and terms relating to health and social care. Terms within groups were combined using the Boolean operator OR, and groups were combined using the Boolean operator AND. Two reviewers independently screened studies against the eligibility criteria and two independent reviewers extracted data on eligible studies onto a customised sheet. We assessed the quality of studies through the Critical Appraisal Skills Programme checklist for randomised controlled trials. We then conducted a narrative synthesis. We identified 68 hits of which five studies satisfied the inclusion criteria. These studies varied substantially in relation to quality, settings, outcomes, and technologies. None of the studies was conducted in social care settings, and three randomised controlled trials showed no difference in patient outcomes. Of these, one investigated the use of Bayesian triage algorithms on forced expiratory volume in 1 second (FEV1) and health-related quality of life in lung transplant patients. Another investigated the effect of image pattern recognition on neonatal development outcomes in pregnant women, and another investigated the effect of the Kalman filter technique for warfarin dosing suggestions on time in therapeutic range. The remaining two randomised controlled trials, investigating computer vision and neural networks on medication adherence and the impact of learning algorithms on assessment time of patients with gestational diabetes, showed statistically significant and clinically important differences to the control groups receiving standard care. However, these studies tended to be of low quality lacking detailed descriptions of methods and only one study used a double-blind design. Although the evidence of effectiveness of data-driven artificial intelligence to support decision-making in health and social care settings is limited, this work provides important insights on how a meaningful evidence base in this emerging field needs to be developed going forward. It is unlikely that any single overall message surrounding effectiveness will emerge - rather effectiveness of interventions is likely to be context-specific and calls for inclusion of a range of study designs to investigate mechanisms of action."
40,IS,"Given the newly established communication environment of social media and highly unpredictable crisis situations, this study questioned how tourists facing an unexpected crisis situation use social media to communicate and search for information. To this end, this study developed a multi-phased social media analytic framework (data crawling, data processing and text mining, social network analysis, semantic network analysis, and network visualization) to assess the structure of information exchanges between the members of a tourism organization’s social network community and identified influential actors and information content within the social network. This study’s findings suggest genuine ways of relating with and utilizing opinion leaders and influencers in social media marketing communication as well as crisis communication. The authors expect this proposed methodological framework of social media analytics to help other scholars scientifically identify and implement the proper methodologies for utilizing social media data."
41,IT,"Edge computing is an emerging technology that aims to include latency-sensitive and data-intensive applications such as mobile or IoT services, into the cloud ecosystem by placing computational resources at the edge of the network. Close proximity to producers and consumers of data brings significant benefits in latency and bandwidth. However, edge resources are, by definition, limited in comparison to cloud counterparts, thus, a trade-off exists between deploying a service closest to its users and avoiding resource overload. We propose a score-based edge service scheduling algorithm that evaluates both network and computational capabilities of edge nodes and outputs the maximum scoring mapping between services and resources. Our extensive simulation based on a live video streaming service, demonstrates significant improvements in both network delay and service time. Additionally, we compare edge computing technology with the state-of-the-art cloud computing and content deli very network solutions within the context of latency-sensitive and data-intensive applications. Our results show that edge computing enhanced with suggested scheduling algorithm is a viable solution for achieving high quality of service and responsivity in deploying such applications."
42,IT,"Besides conventional mobile broadband communication service, 5G is envisioned to support various new use cases from vertical industries. These new scenarios bring diverse and challenging requirements, such as a broader range of performance, cost, security protection, and mobility management. The one-size-fits-all design philosophy applied in existing networks is not viable any more. Slicing a single physical network into several logical networks customized to different unique requirements has emerged as a promising approach to fulfill such divergent requirements in a sustainable way. In this article, we provide a comprehensive survey of 5G network slicing. We first present the driving forces and the concept of network slicing. Then related key enabling technologies, including network function virtualization and modularization, dynamic service chaining, management and orchestration are discussed. The latest progress in 3GPP standardization and industry implementation on 5G network slicing is presented. Finally, the article identifies several important open issues and challenges to inspire further study toward a practical network slicing enabled 5G system."
43,IT,"Efficient load balancing stands out as a crucial challenge in multi-cloud environments, particularly for applications that demand ultra-reliable, low-latency communications (URLLC). This paper proposes a novel approach integrating Decision Functions with Normal Distributions (DFND) for precise probabilistic modeling of task-to-cloud compatibility. Multivariate normal distributions capture interdependencies between resource features such as CPU, memory, bandwidth, and latency, ensuring accurate resource compatibility evaluation. Additionally, the Tasmanian Devil Optimization (TDO) algorithm employs dynamic exploration and exploitation strategies inspired by natural behaviors, providing rigorous optimization to improve task assignment in dynamic, multi-cloud environments. It uses flexible methods to ensure the optimization process is both efficient and scalable. Simulation results using CloudSim demonstrate significant improvements over state-of-the-art methods in terms of makespan reduction, response time minimization, resource utilization, and cost efficiency. The proposed framework effectively supports latency-sensitive, large-scale applications in dynamic, heterogeneous multi-cloud environments."
44,IT,"Pervasive use of cloud computing and the resulting rise in the number of datacenters and hosting centers (that provide platform or software services to clients who do not have the means to set up and operate their own computing facilities) have brought forth many concerns, including the electrical energy cost, peak power dissipation, cooling, and carbon emission. With power consumption becoming an increasingly important issue for the operation and maintenance of the hosting centers, corporate and business owners are becoming increasingly concerned. Furthermore, provisioning resources in a cost-optimal manner so as to meet different performance criteria, such as throughput or response time, has become a critical challenge. The goal of this paper is to provide an introduction to resource provisioning and power or thermal management problems in datacenters, and to review strategies that maximize the datacenter energy efficiency subject to peak or total power consumption and thermal constraints, while meeting stipulated service level agreements in terms of task throughput and/or response time."
45,IT,"IoT (Internet of Things) based smart devices such as sensors have been actively used in edge clouds i.e., ‘fogs’ along with public clouds. They provide critical data during scenarios ranging from e.g., disaster response to in-home healthcare. However, for these devices to work effectively, end-to-end security schemes for the device communication protocols have to be flexible and should depend upon the application requirements as well as the resource constraints at the network-edge. In this paper, we present the design and implementation of a flexible IoT security middleware for end-to-end cloud–fog communications involving smart devices and cloud-hosted applications. The novel features of our middleware are in its ability to cope with intermittent network connectivity as well as device constraints in terms of computational power, memory, energy, and network bandwidth. To provide security during intermittent network conditions, we use a ‘Session Resumption’ algorithm in order for our middleware to reuse encrypted sessions from the recent past, if a recently disconnected device wants to resume a prior connection that was interrupted. In addition, we describe an ‘Optimal Scheme Decider’ algorithm that enables our middleware to select the best possible end-to-end security scheme option that matches with a given set of device constraints. Experiment results show how our middleware implementation also provides fast and resource-aware security by leveraging static properties i.e., static pre-shared keys (PSKs) for a variety of IoT-based application requirements that have trade-offs in higher security or faster data transfer rates."
46,CS,"Advocates for Neuro-Symbolic Artificial Intelligence (NeSy) assert that combining deep learning with symbolic reasoning will lead to stronger AI than either paradigm on its own. As successful as deep learning has been, it is generally accepted that even our best deep learning systems are not very good at abstract reasoning. And since reasoning is inextricably linked to language, it makes intuitive sense that Natural Language Processing (NLP), would be a particularly well-suited candidate for NeSy. We conduct a structured review of studies implementing NeSy for NLP, with the aim of answering the question of whether NeSy is indeed meeting its promises: reasoning, out-of-distribution generalization, interpretability, learning and reasoning from small data, and transferability to new domains. We examine the impact of knowledge representation, such as rules and semantic networks, language structure and relational structure, and whether implicit or explicit reasoning contributes to higher promise scores. We find that systems where logic is compiled into the neural network lead to the most NeSy goals being satisfied, while other factors such as knowledge representation, or type of neural architecture do not exhibit a clear correlation with goals being met. We find many discrepancies in how reasoning is defined, specifically in relation to human level reasoning, which impact decisions about model architectures and drive conclusions which are not always consistent across studies. Hence we advocate for a more methodical approach to the application of theories of human reasoning as well as the development of appropriate benchmarks, which we hope can lead to a better understanding of progress in the field. We make our data and code available on github for further analysis."
47,CS,"Graph-based models have been widely used to fraud detection tasks. Owing to the development of Graph Neural Networks~(GNNs), recent works have proposed many GNN-based fraud detectors based on either homogeneous or heterogeneous graphs. These works leverage existing GNNs and aggregate the neighborhood information to learn the node embeddings, which relies on the assumption that the neighbors share similar context, features, and relations. However, the inconsistency problem incurred by fraudsters is hardly investigated, i.e., the context inconsistency, feature inconsistency, and relation inconsistency. In this paper, we introduce these inconsistencies and design a new GNN framework, GraphConsis, to tackle the inconsistency problem: (1) for the context inconsistency, we propose to combine the context embeddings with node features; (2) for the feature inconsistency, we design a consistency score to filter the inconsistent neighbors and generate corresponding sampling probability; (3) for the relation inconsistency, we learn the relation attention weights associated with the sampled nodes. Empirical analysis on four datasets demonstrates that the inconsistency problem is critical in fraud detection tasks. Extensive experiments show the effectiveness of GraphConsis. We also released a GNN-based fraud detection toolbox with implementations of SOTA models. The code is available at \urlhttps://github.com/safe-graph/DGFraud"
48,CS,"The paper provides an overview and analysis of the current state, problems, and prospects of post-quantum cryptography. Considered the status of the PostQuantum Cryptography Standardization Process. Organizations like the National Institute of Standards and Technology (NIST) are actively working on standardizing post-quantum cryptography. Evaluation rounds have been conducted, thoroughly analyzing numerous candidate post-quantum algorithms to select the most efficient and secure ones. Identified main categories of postquantum cryptographic algorithms. Described key size of post-quantum cryptographic algorithms. Open-source libraries like Open Quantum Safe (OQS) have been developed, offering implementations of various post-quantum algorithms. These libraries enable researchers, developers, and engineers to utilize and test post-quantum algorithms in various applications. There is growing awareness of the need to prepare for the post-quantum computing era. Many companies, organizations, and governments are exploring the implications of quantum computing for their infrastructure and data security and considering the adoption of post-quantum cryptographic solutions."
49,CS,"Multiple fault localization (MFL) is the act of identifying the locations of multiple faults (more than one fault) in a faulty software program. This is known to be more complicated, tedious, and costly in comparison to the traditional practice of presuming that a software contains a single fault. Due to the increasing interest in MFL by the research community, a broad spectrum of MFL debugging approaches and solutions have been proposed and developed. The aim of this study is to systematically review existing research on MFL in the software fault localization (SFL) domain. This study also aims to identify, categorize, and synthesize relevant studies in the research domain. Consequently, using an evidence-based systematic methodology, we identified 55 studies relevant to four research questions. The methodology provides a systematic selection and evaluation process with rigorous and repeatable evidence-based studies selection process. The result of the systematic review shows that research on MFL is gaining momentum with stable growth in the last 5 years. Three prominent MFL debugging approaches were identified, i.e. One-bug-at-a-time debugging approach (OBA), parallel debugging approach, and multiple-bug-at-a-time debugging approach (MBA), with OBA debugging approach being utilized the most. The study concludes with some identified research challenges and suggestions for future research. Although MFL is becoming of grave concern, existing solutions in the field are less mature. Studies utilizing real faults in their experiments are scarce. Concrete solutions to reduce MFL debugging time and cost by adopting an approach such as MBA debugging approach are also less, which require more attention from the research community."
50,CS,"The recent development of fast depth map fusion technique enables the realtime, detailed scene reconstruction using commodity depth camera, making the indoor scene understanding more possible than ever. To address the specific challenges in object analysis at subscene level, this work proposes a data-driven approach to modeling contextual information covering both intra-object part relations and inter-object object layouts. Our method combines the detection of individual objects and object groups within the same framework, enabling contextual analysis without knowing the objects in the scene a priori. The key idea is that while contextual information could benefit the detection of either individual objects or object groups, both can contribute to object extraction when objects are unknown.Our method starts with a robust segmentation and partitions a subscene into segments, each of which represents either an independent object or a part of some object. A set of classifiers are trained for both individual objects and object groups, using a database of 3D scene models. We employ the multiple kernel learning (MKL) to learn per-category optimized classifiers for objects and object groups. Finally, we perform a graph matching to extract objects using the classifiers, thus grouping the segments into either an object or an object group. The output is an object-level labeled segmentation of the input subscene. Experiments demonstrate that the unified contextual analysis framework achieves robust object detection and recognition over cluttered subscenes."
51,IS,"Employing the framework of the technology acceptance model (TAM), the present study investigates the factors that affect employees’ acceptance and use of teleconferencing systems for work-related meetings in business settings. Based on survey data of 155 working professionals, a path analysis confirmed the key propositions of TAM. Importantly, the results also showed that both individual factors such as anxiety and self-efficacy, and institutional factors such as institutional support and voluntariness were significantly related to perceived ease of use (PEOU), perceived usefulness (PU), and actual use of the systems. By examining teleconferencing that typically involves group communication within organizations, this study contributes to theoretical refinement of group-based technology use and adoption. Theoretical and practical implications are discussed."
52,IS,"The primary objective of an enterprise resource planning (ERP) system is to help integrate an organization's business operations and processes effectively and efficiently. Not all firms have been successful in their ERP implementations and to that end research has helped to identify many factors that might be critical to a successful implementation. Such factors as the use of business process reengineering (BPR), and establishing a total quality management (TQM) culture have all shown to play important roles in ERP implementation. The focus of this survey research on US electronic manufacturing firms is to identify successful integration sequences of TQM and BPR with ERP. The findings reveal that both the sequence of implementation and the strategies selected to initiate ERP systems can significantly impact business performance successfulness."
53,IS,"In this article, we explore the challenges of global governance and the particular challenge presented by global data governance. We discuss a range of challenges to developing meaningful global governance institutions for regulating how companies and governments around the world manage and utilize consumer data. These challenges are compounded by their global nature and the complexities of Internet-based technologies. We argue that the following gaps exist for effective global data governance: (a) there is no overarching global framework for protecting consumer data, and it is partial and incomplete; (b) there is a lack of data protection for international data transfers, as much of the regulation that is being developed is not global in scale; and (c) new areas of data collection and use compound concerns to effective data governance in a globalized digital world. Moreover, we highlight important needs in terms of both global governance and impending challenges related to current and new uses of data. Any global governance framework should recognize the need for an iterative process where communication is ongoing between the necessary stakeholders. Agreements should incorporate common goals to maximize the potential development of global data governance norms. However, goals must remain flexible to the different data environments across nation-states while maintaining a global scope to ensure data protection. In addition, any agreement should consider the emerging challenges in this area. These challenges include new methods of data collection and use, as well as protecting individuals from manipulation and undue influence based on how their data are being used, processed, and collected."
54,IS,"Limitations in healthcare funding require hospitals to find more effective ways to utilize resources. An effective patient management system is critically dependent on the accurate analysis of individual patient outcomes and resource utilization. In the current paper, a management-oriented decision support model is thus proposed to assist health system managers in improving the efficiency of their systems. In the first stage of the model, the key variables affecting system efficiency, as well as their causal relationships, are identified through causal maps. Efficiency is measured by the total time spent in the system. In the second stage, a Bayesian Belief Network (BBN) is employed to represent both the conditional dependencies and uncertainties of the key variables. In the third stage, a sensitivity analysis is performed using a BBN to determine the most critical variable(s) in terms of impact on the system. Finally, strategies to improve system efficiency are proposed. The suggested decision support system is applied to the tomography section in the radiology department of a private hospital in Turkey."
55,IS,"From a supply chain perspective, new technologies such as blockchain can improve the efficiency and competitiveness of logistics and increase customer satisfaction. Although blockchain technology has been lauded as a way for firms to build sustainable supply chain networks, the rate of acceptance of this technology remains low. Therefore, this study seeks to identify the factors that discourage firms from merging blockchain with the supply chain. Instead of providing further reasons for adopting blockchain technology, we try to understand what deters firms from adding blockchain to their operations. Following the deductive approach, a confirmatory factor analysis is conducted on pre-test questionnaires to test, improve, and verify the constructs (questions) to measure the hypothesized factors. A theoretical model is proposed based on the hypotheses, and structural equation modeling is applied. The results are estimated using the partial least squares approach and a sample of 83 respondents. Our findings based on our empirical data support most of our hypotheses. We find that various factors impede the adoption of blockchain technologies, including technological barriers, constraints rooted in organizations and the environment, and system-related governmental barriers. In addition, various factors are critical determinants of resistance to blockchain in the technological, organizational, and environmental dimensions."
56,IT,"The vast majority of Web services and sites are hosted in various kinds of cloud services, and ordering some level of quality of service (QoS) in such systems requires effective load-balancing policies that choose among multiple clouds. Recently, software-defined networking (SDN) is one of the most promising solutions for load balancing in cloud data center. SDN is characterized by its two distinguished features, including decoupling the control plane from the data plane and providing programmability for network application development. By using these technologies, SDN and cloud computing can improve cloud reliability, manageability, scalability and controllability. SDN-based cloud is a new type cloud in which SDN technology is used to acquire control on network infrastructure and to provide networking-as-a-service (NaaS) in cloud computing environments. In this paper, we introduce an SDN-enhanced Inter cloud Manager (S-ICM) that allocates network flows in the cloud environment. S-ICM consists of two main parts, monitoring and decision making. For monitoring, S-ICM uses SDN control message that observes and collects data, and decision-making is based on the measured network delay of packets. Measurements are used to compare S-ICM with a round robin (RR) allocation of jobs between clouds which spreads the workload equitably, and with a honeybee foraging algorithm (HFA). We see that S-ICM is better at avoiding system saturation than HFA and RR under heavy load formula using RR job scheduler. Measurements are also used to evaluate whether a simple queueing formula can be used to predict system performance for several clouds being operated under an RR scheduling policy, and show the validity of the theoretical approximation."
57,IT,"In this study, an artificial intelligence (AI) intrusion detection system using a deep neural network (DNN) was investigated and tested with the KDD Cup 99 dataset in response to ever-evolving network attacks. First, the data were preprocessed through data transformation and normalization for input to the DNN model. The DNN algorithm was applied to the data refined through preprocessing to create a learning model, and the entire KDD Cup 99 dataset was used to verify it. Finally, the accuracy, detection rate, and false alarm rate were calculated to ascertain the detection efficacy of the DNN model, which was found to generate good results for intrusion detection."
58,IT,"Internet of Things (IoT) security and privacy remain a major challenge, mainly due to the massive scale and distributed nature of IoT networks. Blockchain-based approaches provide decentralized security and privacy, yet they involve significant energy, delay, and computational overhead that is not suitable for most resource-constrained IoT devices. In our previous work, we presented a lightweight instantiation of a BC particularly geared for use in IoT by eliminating the Proof of Work (POW) and the concept of coins. Our approach was exemplified in a smart home setting and consists of three main tiers namely: cloud storage, overlay, and smart home. In this paper we delve deeper and outline the various core components and functions of the smart home tier. Each smart home is equipped with an always online, high resource device, known as “miner” that is responsible for handling all communication within and external to the home. The miner also preserves a private and secure BC, used for controlling and auditing communications. We show that our proposed BC-based smart home framework is secure by thoroughly analysing its security with respect to the fundamental security goals of confidentiality, integrity, and availability. Finally, we present simulation results to highlight that the overheads (in terms of traffic, processing time and energy consumption) introduced by our approach are insignificant relative to its security and privacy gains."
59,IT,"The swift adoption of cloud services is accelerating the deployment of data centers. These data centers are consuming a large amount of energy, which is expected to grow dramatically under the existing technological trends. Therefore, research efforts are in great need to architect green data centers with better energy efficiency. The most prominent approach is the consolidation enabled by virtualization. However, little effort has been paid to the potential overhead in energy usage and the throughput reduction for virtualized servers. Clear understanding of energy usage on virtualized servers lays out a solid foundation for green data-center architecture. This paper investigates how virtualization affects the energy usage in servers under different task loads, aiming to understand a fundamental trade-off between the energy saving from consolidation and the detrimental effects from virtualization. We adopt an empirical approach to measure the server energy usage with different configurations, including a benchmark case and two alternative hypervisors. Based on the collected data, we report a few findings on the impact of virtualization on server energy usage and their implications to green data-center architecture. We envision that these technical insights would bring tremendous value propositions to green data-center architecture and operations."
60,IT,"This paper addresses how to construct an RBAC-compatible secure cloud storage service with a user-friendly and easy-to-manage attribute-based access control (ABAC) mechanism. Similar to role hierarchies in RBAC, attribute hierarchies (considered as partial ordering relations) are introduced into attribute-based encryption (ABE) in order to define a seniority relation among all values of an attribute, whereby a user holding senior attribute values acquires permissions of his/her juniors. Based on these notations, we present a new ABE scheme called attribute-based encryption with attribute hierarchies (ABE-AH) to provide an efficient approach to implement comparison operations between attribute values on a poset derived from an attribute lattice. By using bilinear groups of a composite order, we present a practical construction of ABE-AH based on forward and backward derivation functions. Compared with prior solutions, our scheme offers a compact policy representation approach that can significantly reduce the size of private-keys and ciphertexts. To demonstrate how to use the presented solution, we illustrate how to provide richer expressive access policies to facilitate flexible access control for data access services in clouds."
61,CS,"Program synthesis is the task of automatically generating a program consistent with a specification. Recent years have seen proposal of a number of neural approaches for program synthesis, many of which adopt a sequence generation paradigm similar to neural machine translation, in which sequence-to-sequence models are trained to maximize the likelihood of known reference programs. While achieving impressive results, this strategy has two key limitations. First, it ignores Program Aliasing: the fact that many different programs may satisfy a given specification (especially with incomplete specifications such as a few input-output examples). By maximizing the likelihood of only a single reference program, it penalizes many semantically correct programs, which can adversely affect the synthesizer performance. Second, this strategy overlooks the fact that programs have a strict syntax that can be efficiently checked. To address the first limitation, we perform reinforcement learning on top of a supervised model with an objective that explicitly maximizes the likelihood of generating semantically correct programs. For addressing the second limitation, we introduce a training procedure that directly maximizes the probability of generating syntactically correct programs that fulfill the specification. Weshowthat our contributions lead to improved accuracy of the models, especially in cases where the training data is limited."
62,CS,"With the widespread use of artificial intelligence (AI) systems and applications in our everyday lives, accounting for fairness has gained significant importance in designing and engineering of such systems. AI systems can be used in many sensitive environments to make important and life-changing decisions; thus, it is crucial to ensure that these decisions do not reflect discriminatory behavior toward certain groups or populations. More recently some work has been developed in traditional machine learning and deep learning that address such challenges in different subdomains. With the commercialization of these systems, researchers are becoming more aware of the biases that these applications can contain and are attempting to address them. In this survey, we investigated different real-world applications that have shown biases in various ways, and we listed different sources of biases that can affect AI applications. We then created a taxonomy for fairness definitions that machine learning researchers have defined to avoid the existing bias in AI systems. In addition to that, we examined different domains and subdomains in AI showing what researchers have observed with regard to unfair outcomes in the state-of-the-art methods and ways they have tried to address them. There are still many future directions and solutions that can be taken to mitigate the problem of bias in AI systems. We are hoping that this survey will motivate researchers to tackle these issues in the near future by observing existing work in their respective fields."
63,CS,"This paper connects multi-agent path planning on graphs (roadmaps) to network flow problems, showing that the former can be reduced to the latter, therefore enabling the application of combinatorial network flow algorithms, as well as general linear program techniques, tomulti-agent path planning problems on graphs. Exploiting this connection, we show that when the goals are permutation invariant, the problem always has a feasible solution path set with a longest finish time of no more than n + V - 1 steps, in which n is the number of agents and V is the number of vertices of the underlying graph.We then give a complete algorithm that finds such a solution in O(nVE) time, with E being the number of edges of the graph. Taking a further step, we study time and distance optimality of the feasible solutions, show that they have a pairwise Pareto optimal structure, and again provide efficient algorithms for optimizing two of these practical objectives."
64,CS,"Deep learning is at the heart of the current rise of artificial intelligence. In the field of computer vision, it has become the workhorse for applications ranging from self-driving cars to surveillance and security. Whereas, deep neural networks have demonstrated phenomenal success (often beyond human capabilities) in solving complex problems, recent studies show that they are vulnerable to adversarial attacks in the form of subtle perturbations to inputs that lead a model to predict incorrect outputs. For images, such perturbations are often too small to be perceptible, yet they completely fool the deep learning models. Adversarial attacks pose a serious threat to the success of deep learning in practice. This fact has recently led to a large influx of contributions in this direction. This paper presents the first comprehensive survey on adversarial attacks on deep learning in computer vision. We review the works that design adversarial attacks, analyze the existence of such attacks and propose defenses against them. To emphasize that adversarial attacks are possible in practical conditions, we separately review the contributions that evaluate adversarial attacks in the real-world scenarios. Finally, drawing on the reviewed literature, we provide a broader outlook of this research direction."
65,CS,"We present a three-stage quantum cryptographic protocol based on public key cryptography in which each party uses its own secret key. Unlike the BB84 protocol, where the qubits are transmitted in only one direction and classical information exchanged thereafter, the communication in the proposed protocol remains quantum in each stage. A related system of key distribution is also described."
66,IS,"The covid-19 pandemic revolutionises digital financial services, and hence digital financial inclusion is essential to ensure everyone can access digital financial services and thus promote sustainable economic growth. The development and activities promoting digital financial inclusion must align and help attain 2030 Sustainable Development Goals (SDGs). While the pandemic is anticipated to increase the usage of digital financial services, it has also created challenges for certain countries. Hence, a systematic literature review explores digital financial inclusion across countries. This research finds that developing countries, mainly Asian countries, embrace and improve digital financial inclusion to help reduce poverty. However, the results indicate that in developing countries, a persistent divide exists between gender, the wealthy and the poor, and urban and rural areas regarding access to and usage of digital financial services. At the end of the study, we propose a few recommendations, focusing on improving digital infrastructure, simplifying the complicated banking procedures, and stressing the importance of financial education, enabling the smooth implication of digital financial inclusion across countries."
67,IS,"Crisis management has gained importance in the policy agendas of many countries around the world due to the increases in the number of natural disasters and terrorist attacks. This paper illustrates how the Turkish Government’s Disaster and Crisis Management System has been developed and makes a qualitative evaluation of the current disaster and crisis management systems. A literature review shows that the disaster and crisis management system in Turkey has been developed after tragic events. The paper examines what kinds of initiatives were introduced and what trends in shift have occurred. After analyzing recent cases and exploring some government initiatives, alternative approaches and suggestions are included. Turkey has developed its disaster and crisis management system since 1930, which mostly depended on experiences. The current system is governed by a centralized structure that is the responsibility of different ministries. Nonetheless, the system is very weak at the local level. Furthermore, participation of non-profit organizations is very limited at both national and local levels. Thus, coordination and management of first-response operations during crises are problematic and ineffective. Particularly, the system is not designed for different types of crises such as terrorist attacks. Crisis management in Turkey needs a more unified and flexible structure to deal with current problems effectively. Further suggestions for better implementation are also provided. The effectiveness of the disaster and crisis management system is analyzed in natural and man-made disasters. Findings show that centralized and decentralized systems have different functions in different situations."
68,IS,"Since the advent of the embryonic model almost a century ago, R&D systems have gone through an evolutionary process of development that can be classified into three generations. Today, the fourth generation of R&D is emerging that emphasizes both strategic and operational importance of knowledge management (KM). Despite the importance of KM, the network between conceptual scheme of the fourth generation R&D and practical system of KM remains a missing link. In response, the main objective of this paper is to present a framework for designing and implementing knowledge management system (KMS) for the fourth generation R&D. The proposed system is named KNOWVATION, which combines the notions of knowledge and innovation. First, the evolutionary classification of the R&D generations and the corresponding characteristics of the respective generations are defined. Second, the organizational structure and knowledge functions of the fourth generation R&D are derived. Finally, the overall design framework and detailed sub-modules are presented."
69,IS,"The adoption of e-governing practices has revolutionised the administrative machinery of governments worldwide by improving efficiency, transparency, and accountability. Researchers and administrators often aim to identify emerging research fronts and the timeline of the evolution to forecast and implement technology. In this work, we systematically investigate the trajectory of the global evolution and emerging research fronts as well as the prospects for e-governance using citation network analysis. The growth curve fitted to the number of articles published per year shows that the research activities are still in the ascendant phase. We visualise the global main path of the citation network and investigate the patterns to trace the knowledge diffusion path, major milestones, and emerging research fronts. The cluster analysis identifies the major topics of research as administration and information system management, e-governance framework design, efficiency or quality evaluation, and the application of social networks and open data leading to e-democracy. The adoption of open data and social networking for user interactions with government that leads to participatory governance are the emerging research trends. We also identify research that can have a future impact based on network parameters. The results contribute to the literature by setting the focus of future research, and assisting administrators in selecting suitable models and methodologies, and manufacturers with the development of required technical devices suitable for the upcoming phase of symbiosis."
70,IS,"The paper discusses the bright and dark sides of the relationship between human judgment and AI-driven machine learning (ML) algorithms. While discussing important issues, such as algorithm aversion, automation bias, and trust, it probes into how AI improves decision-making efficiency through predictive accuracy, resource optimisation, and data-driven insights. Even as AI can revolutionise decision-making, its effective integration must balance algorithmic output and human judgment. The most critical challenges include automation bias resulting from over-reliance on advice given by AI and algorithm aversion driven by concerns related to AI failures. Open systems, explainable AI (XAI) frameworks, and user-centered design can help to engender confidence in AI systems and alleviate these issues. Accountability, equity, and prejudice concerns raise further ethical considerations with AI. The study proposed several tactics that might mitigate such challenges: audits of ethics, adherence to legal policy, and integration of the AI systems with the company’s values. It underlines the human-AI collaboration that will be increasingly necessary, as well as hybrid models for decision-making that bring algorithmic accuracy to human intuition. It follows the case study review and empirical findings with practical lessons for organisational leaders on ethics, best deployment practices for AI, and tactical ways to engender better collaboration and trust. The conclusion outlines the need to enhance the explainability features of AI, study cognitive dynamics in decision processes, and work out ethical schemata guiding leading positions for AI. Beyond providing a roadmap for organisations to leverage the interaction of human judgment and machine intelligence to drive and achieve more ethical and effective leadership outcomes, this paper tries to contribute to the ongoing debate on AI-augmented decision-making."
